key,Начало нагрева дугой,Конец нагрева дугой,Активная мощность,Реактивная мощность
1,2019-05-03 11:02:14,2019-05-03 11:06:02,0.30513,0.211253
1,2019-05-03 11:07:28,2019-05-03 11:10:33,0.765658,0.477438
1,2019-05-03 11:11:44,2019-05-03 11:14:36,0.580313,0.43046
1,2019-05-03 11:18:14,2019-05-03 11:24:19,0.518496,0.379979
1,2019-05-03 11:26:09,2019-05-03 11:28:37,0.867133,0.643691
2,2019-05-03 11:34:14,2019-05-03 11:36:31,0.381124,0.220351
2,2019-05-03 11:38:50,2019-05-03 11:44:28,0.261665,0.205527
2,2019-05-03 11:46:19,2019-05-03 11:48:25,0.710297,0.484962
2,2019-05-03 11:49:48,2019-05-03 11:53:18,0.786322,0.542517
3,2019-05-03 12:06:54,2019-05-03 12:11:34,1.101678,0.820856
3,2019-05-03 12:13:52,2019-05-03 12:15:56,0.542675,0.474673
3,2019-05-03 12:18:56,2019-05-03 12:20:45,0.774632,0.50569
3,2019-05-03 12:25:43,2019-05-03 12:27:00,1.222963,0.863676
3,2019-05-03 12:31:14,2019-05-03 12:32:19,0.421693,0.272562
4,2019-05-03 12:39:37,2019-05-03 12:43:04,0.642946,0.516071
4,2019-05-03 12:44:47,2019-05-03 12:46:26,0.310693,0.241781
4,2019-05-03 12:48:14,2019-05-03 12:50:51,0.887855,0.644479
4,2019-05-03 12:53:12,2019-05-03 12:57:50,0.864995,0.654661
5,2019-05-03 13:11:13,2019-05-03 13:15:24,0.324563,0.279102
5,2019-05-03 13:18:21,2019-05-03 13:20:33,0.57381,0.439417
5,2019-05-03 13:23:32,2019-05-03 13:30:27,0.46162,0.308665
5,2019-05-03 13:32:44,2019-05-03 13:33:55,0.892957,0.660807
6,2019-05-03 13:46:51,2019-05-03 13:48:34,0.390797,0.290488
6,2019-05-03 13:50:39,2019-05-03 13:57:17,0.84719,0.562753
6,2019-05-03 14:00:00,2019-05-03 14:02:56,0.957252,0.62558
6,2019-05-03 14:04:49,2019-05-03 14:09:24,0.530035,0.402492
7,2019-05-03 14:16:46,2019-05-03 14:18:44,0.57539,0.373449
7,2019-05-03 14:21:06,2019-05-03 14:27:03,0.854873,0.639473
7,2019-05-03 14:28:53,2019-05-03 14:30:32,0.588825,0.395404
7,2019-05-03 14:39:36,2019-05-03 14:41:15,0.607789,0.552093
8,2019-05-03 14:53:56,2019-05-03 15:01:11,0.40198,0.292894
8,2019-05-03 15:03:50,2019-05-03 15:05:18,1.244066,1.074537
8,2019-05-03 15:07:36,2019-05-03 15:12:59,0.558801,0.382646
8,2019-05-03 15:16:41,2019-05-03 15:17:48,0.474111,0.346875
9,2019-05-03 15:36:43,2019-05-03 15:39:19,1.100202,0.772495
9,2019-05-03 15:42:27,2019-05-03 15:45:26,0.80675,0.610372
9,2019-05-03 15:49:07,2019-05-03 15:52:23,0.492036,0.31723
9,2019-05-03 15:59:11,2019-05-03 16:00:02,0.467218,0.342799
9,2019-05-03 16:02:06,2019-05-03 16:02:49,0.654614,0.484469
10,2019-05-03 16:14:09,2019-05-03 16:16:36,0.423798,0.296542
10,2019-05-03 16:17:59,2019-05-03 16:22:16,0.627009,0.432609
10,2019-05-03 16:24:39,2019-05-03 16:26:49,0.467115,0.313622
10,2019-05-03 16:28:06,2019-05-03 16:29:41,0.522005,0.361521
10,2019-05-03 16:32:25,2019-05-03 16:34:09,0.502584,0.34044
10,2019-05-03 16:36:19,2019-05-03 16:37:51,0.576267,0.410207
11,2019-05-03 16:52:15,2019-05-03 16:55:04,0.59495,0.513569
11,2019-05-03 17:06:02,2019-05-03 17:08:02,0.359611,0.301657
11,2019-05-03 17:18:29,2019-05-03 17:19:22,0.796918,0.609124
11,2019-05-03 17:23:38,2019-05-03 17:27:17,0.496545,0.339225
11,2019-05-03 17:31:02,2019-05-03 17:32:08,0.755356,0.60535
12,2019-05-03 17:40:31,2019-05-03 17:42:35,0.40525,0.306783
12,2019-05-03 17:46:38,2019-05-03 17:52:40,0.76947,0.612505
12,2019-05-03 18:06:53,2019-05-03 18:09:21,0.510781,0.332135
12,2019-05-03 18:12:49,2019-05-03 18:14:34,0.551192,0.395074
13,2019-05-03 18:38:37,2019-05-03 18:40:46,0.590984,0.432071
13,2019-05-03 18:44:26,2019-05-03 18:48:20,1.123269,0.858183
13,2019-05-03 18:49:58,2019-05-03 18:54:00,0.319848,0.266752
13,2019-05-03 18:56:19,2019-05-03 18:58:54,0.354767,0.251177
13,2019-05-03 19:00:41,2019-05-03 19:03:41,0.305344,0.269377
13,2019-05-03 19:07:30,2019-05-03 19:08:57,0.73748,0.504562
14,2019-05-03 19:59:08,2019-05-03 20:02:27,0.509109,0.388666
14,2019-05-03 20:07:10,2019-05-03 20:13:29,0.666099,0.503419
14,2019-05-03 20:19:03,2019-05-03 20:25:14,1.019963,0.741209
14,2019-05-03 20:32:02,2019-05-03 20:33:40,0.485121,0.451034
14,2019-05-03 20:35:08,2019-05-03 20:36:29,0.618853,0.434014
14,2019-05-03 20:38:23,2019-05-03 20:40:10,1.011364,0.894062
15,2019-05-03 20:56:56,2019-05-03 21:00:02,0.357609,0.236726
15,2019-05-03 21:04:04,2019-05-03 21:07:00,0.418855,0.276859
15,2019-05-03 21:11:34,2019-05-03 21:14:19,0.748699,0.519172
15,2019-05-03 21:17:20,2019-05-03 21:18:59,0.39346,0.300262
15,2019-05-03 21:34:30,2019-05-03 21:35:58,0.853441,0.571927
16,2019-05-03 22:04:33,2019-05-03 22:07:45,0.517101,0.348967
16,2019-05-03 22:11:07,2019-05-03 22:17:34,0.578838,0.428788
16,2019-05-03 22:27:50,2019-05-03 22:33:05,0.459944,0.358614
17,2019-05-03 22:44:10,2019-05-03 22:46:51,1.195434,0.9768
17,2019-05-03 22:50:05,2019-05-03 22:52:47,0.953224,0.649247
17,2019-05-03 22:59:40,2019-05-03 23:01:42,0.853521,0.571626
17,2019-05-03 23:04:52,2019-05-03 23:07:52,1.220986,1.074333
17,2019-05-03 23:12:14,2019-05-03 23:13:43,0.406621,0.285777
18,2019-05-03 23:23:58,2019-05-03 23:26:03,0.362735,0.316976
18,2019-05-03 23:34:10,2019-05-03 23:40:19,0.515849,0.421186
18,2019-05-03 23:54:55,2019-05-03 23:57:01,0.848125,0.555223
18,2019-05-04 00:00:19,2019-05-04 00:03:00,0.9437,0.588743
18,2019-05-04 00:10:36,2019-05-04 00:11:37,0.873248,0.713031
19,2019-05-04 00:41:44,2019-05-04 00:44:13,0.796037,0.54331
19,2019-05-04 00:55:31,2019-05-04 00:56:53,0.381018,0.271883
19,2019-05-04 01:12:19,2019-05-04 01:13:49,1.200436,0.836174
20,2019-05-04 01:43:19,2019-05-04 01:45:27,0.51709,0.42987
20,2019-05-04 01:49:53,2019-05-04 01:53:23,0.40246,0.287402
20,2019-05-04 01:57:11,2019-05-04 02:00:16,0.547288,0.422592
20,2019-05-04 02:03:05,2019-05-04 02:05:35,0.766118,0.493367
20,2019-05-04 02:13:18,2019-05-04 02:14:20,0.836358,0.61266
21,2019-05-04 03:30:08,2019-05-04 03:32:18,0.44501,0.327709
21,2019-05-04 03:35:34,2019-05-04 03:39:27,0.486658,0.333009
21,2019-05-04 03:42:26,2019-05-04 03:52:24,0.639156,0.425871
21,2019-05-04 03:55:52,2019-05-04 03:58:00,0.553851,0.460131
21,2019-05-04 04:18:26,2019-05-04 04:20:25,0.493884,0.453807
21,2019-05-04 04:24:20,2019-05-04 04:25:15,0.582278,0.435134
22,2019-05-04 04:27:33,2019-05-04 04:29:36,0.416693,0.282269
22,2019-05-04 04:32:18,2019-05-04 04:34:07,0.805373,0.706759
22,2019-05-04 04:54:27,2019-05-04 04:58:32,0.550549,0.344273
22,2019-05-04 05:02:26,2019-05-04 05:05:23,0.29687,0.241019
22,2019-05-04 05:07:08,2019-05-04 05:12:08,0.578899,0.423595
22,2019-05-04 05:13:34,2019-05-04 05:14:59,0.46939,0.415422
23,2019-05-04 05:38:43,2019-05-04 05:41:17,0.917064,0.641088
23,2019-05-04 05:44:12,2019-05-04 05:46:36,0.59356,0.447818
23,2019-05-04 05:53:10,2019-05-04 05:55:27,0.672961,0.510488
23,2019-05-04 05:57:43,2019-05-04 06:00:03,1.031975,0.65727
23,2019-05-04 06:14:38,2019-05-04 06:16:58,0.78939,0.647184
24,2019-05-04 06:28:10,2019-05-04 06:31:10,0.536975,0.391653
24,2019-05-04 06:36:09,2019-05-04 06:41:32,0.36707,0.236627
24,2019-05-04 06:44:37,2019-05-04 06:46:47,0.783893,0.53959
24,2019-05-04 07:11:33,2019-05-04 07:13:32,0.523169,0.393188
24,2019-05-04 07:17:38,2019-05-04 07:21:44,0.456281,0.310365
24,2019-05-04 07:26:52,2019-05-04 07:30:01,0.58418,0.397972
25,2019-05-04 07:32:50,2019-05-04 07:34:57,1.050481,0.695222
25,2019-05-04 07:39:58,2019-05-04 07:44:12,0.37902,0.274015
25,2019-05-04 07:47:06,2019-05-04 07:52:28,0.433161,0.292997
25,2019-05-04 08:01:35,2019-05-04 08:03:56,0.671973,0.464281
25,2019-05-04 08:06:29,2019-05-04 08:08:16,0.734893,0.594302
25,2019-05-04 08:11:39,2019-05-04 08:13:02,0.647655,0.497607
26,2019-05-04 08:18:16,2019-05-04 08:20:33,0.379162,0.279738
26,2019-05-04 08:32:57,2019-05-04 08:35:10,0.370609,0.26181
26,2019-05-04 08:43:21,2019-05-04 08:46:12,0.738229,0.552377
27,2019-05-04 08:55:40,2019-05-04 09:01:30,0.819494,0.614552
27,2019-05-04 09:11:05,2019-05-04 09:11:50,0.560899,0.357083
27,2019-05-04 09:13:37,2019-05-04 09:18:35,1.028829,0.776168
27,2019-05-04 09:20:21,2019-05-04 09:21:36,0.489026,0.350214
28,2019-05-04 09:36:09,2019-05-04 09:38:05,0.452306,0.314882
28,2019-05-04 09:40:04,2019-05-04 09:45:17,0.729953,0.497477
28,2019-05-04 09:47:10,2019-05-04 09:50:49,0.781541,0.517268
28,2019-05-04 09:52:42,2019-05-04 09:55:39,0.514685,0.367232
29,2019-05-04 10:13:16,2019-05-04 10:15:11,0.361212,0.325658
29,2019-05-04 10:19:26,2019-05-04 10:22:28,0.584825,0.379651
29,2019-05-04 10:29:36,2019-05-04 10:30:39,0.820875,0.691801
29,2019-05-04 10:32:22,2019-05-04 10:33:29,0.855655,0.615837
30,2019-05-04 10:43:33,2019-05-04 10:45:23,0.271634,0.197536
30,2019-05-04 10:49:25,2019-05-04 10:56:44,0.782927,0.5462
30,2019-05-04 10:59:01,2019-05-04 11:04:03,0.54218,0.367158
30,2019-05-04 11:11:50,2019-05-04 11:12:39,0.613326,0.544351
31,2019-05-04 11:29:33,2019-05-04 11:32:31,0.706558,0.537496
31,2019-05-04 11:35:50,2019-05-04 11:39:22,0.71564,0.550317
31,2019-05-04 11:43:02,2019-05-04 11:44:06,0.363854,0.270391
31,2019-05-04 11:46:41,2019-05-04 11:48:38,1.131533,0.773594
32,2019-05-04 12:52:48,2019-05-04 12:55:56,0.463147,0.374491
32,2019-05-04 12:58:33,2019-05-04 13:07:22,0.502953,0.352604
32,2019-05-04 13:25:32,2019-05-04 13:28:08,0.321175,0.221176
32,2019-05-04 13:38:57,2019-05-04 13:41:06,0.45036,0.307032
33,2019-05-04 13:51:46,2019-05-04 13:54:15,0.302394,0.260613
33,2019-05-04 13:58:52,2019-05-04 14:05:17,0.478676,0.315478
33,2019-05-04 14:07:33,2019-05-04 14:13:18,0.460613,0.314188
33,2019-05-04 14:14:21,2019-05-04 14:16:32,0.549723,0.37249
33,2019-05-04 14:20:34,2019-05-04 14:22:25,0.980108,0.82013
33,2019-05-04 14:30:35,2019-05-04 14:33:04,0.887283,0.619086
33,2019-05-04 14:34:32,2019-05-04 14:35:36,0.471479,0.351416
34,2019-05-04 14:45:36,2019-05-04 14:50:46,0.846831,0.583265
34,2019-05-04 14:52:47,2019-05-04 14:55:22,0.439837,0.294242
34,2019-05-04 14:57:03,2019-05-04 15:01:15,0.304665,0.277515
35,2019-05-04 15:17:18,2019-05-04 15:21:10,0.358962,0.292957
35,2019-05-04 15:23:10,2019-05-04 15:25:14,0.454238,0.342769
35,2019-05-04 15:27:46,2019-05-04 15:33:20,0.717018,0.503796
36,2019-05-04 15:53:59,2019-05-04 15:57:25,0.467047,0.337613
36,2019-05-04 15:59:54,2019-05-04 16:02:38,0.828752,0.53968
36,2019-05-04 16:04:14,2019-05-04 16:10:18,0.855535,0.562861
36,2019-05-04 16:12:35,2019-05-04 16:15:01,0.566237,0.432768
36,2019-05-04 16:16:42,2019-05-04 16:20:34,0.616815,0.417611
37,2019-05-04 16:28:09,2019-05-04 16:31:30,0.515433,0.354348
37,2019-05-04 16:42:24,2019-05-04 16:44:53,0.578006,0.404017
37,2019-05-04 16:50:16,2019-05-04 16:53:06,0.465258,0.367007
37,2019-05-04 16:55:07,2019-05-04 16:57:27,1.282407,0.843068
37,2019-05-04 17:02:05,2019-05-04 17:03:27,0.305493,0.229947
38,2019-05-04 17:18:40,2019-05-04 17:21:07,1.336674,1.213404
38,2019-05-04 17:25:14,2019-05-04 17:29:47,1.270273,1.023128
38,2019-05-04 17:36:47,2019-05-04 17:39:57,0.648183,0.546889
38,2019-05-04 17:41:51,2019-05-04 17:42:28,0.633236,0.463029
39,2019-05-04 17:58:51,2019-05-04 18:01:17,0.755446,0.491989
